"Commodity","CutOffDate","PortId","LotsWithValCert","LotsNonTend","LotsSuspended"
"RC","18-Mar-2026","AMS","0","0","0"
"RC","18-Mar-2026","ANT","2516","1","0"
"RC","18-Mar-2026","BAR","24","0","0"
"RC","18-Mar-2026","BRE","0","0","0"
"RC","18-Mar-2026","FEL","123","0","0"
"RC","18-Mar-2026","GEN","0","0","0"
"RC","18-Mar-2026","HAM","0","0","0"
"RC","18-Mar-2026","LEH","0","0","0"
"RC","18-Mar-2026","LIV","0","0","0"
"RC","18-Mar-2026","LON","1622","0","0"
"RC","18-Mar-2026","NOR","0","0","0"
"RC","18-Mar-2026","ROT","0","0","0"
"RC","18-Mar-2026","TRI","0","0","0"
"GrandTotal","","","4285","1","0"
