"Commodity","CutOffDate","PortId","LotsWithValCert","LotsNonTend","LotsSuspended"
"RC","08-Mar-2026","AMS","0","0","0"
"RC","08-Mar-2026","ANT","2636","1","0"
"RC","08-Mar-2026","BAR","27","0","0"
"RC","08-Mar-2026","BRE","0","0","0"
"RC","08-Mar-2026","FEL","131","0","0"
"RC","08-Mar-2026","GEN","0","0","0"
"RC","08-Mar-2026","HAM","0","0","0"
"RC","08-Mar-2026","LEH","0","0","0"
"RC","08-Mar-2026","LIV","0","0","0"
"RC","08-Mar-2026","LON","1789","0","0"
"RC","08-Mar-2026","NOR","0","0","0"
"RC","08-Mar-2026","ROT","0","0","0"
"RC","08-Mar-2026","TRI","0","0","0"
"GrandTotal","","","4583","1","0"
